week_index,week_start,strategy,commodity,market,modal_price_inr_qtl,transport_inr_qtl,landed_inr_qtl,purchased_qtl,required_qtl,delivered_qtl,opening_inventory_qtl,closing_inventory_qtl,shrinkage_loss_qtl,purchase_cost_inr,transport_cost_inr,storage_cost_inr,week_cost_inr
0,2025-01-06,S2,Onion,Solapur,1440.0,13.08523311639758,1453.0852331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1661538.4615384615,15098.345903535668,0.0,1676636.807441997
1,2025-01-13,S2,Onion,Solapur,1517.92,13.08523311639758,1531.0052331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1751446.153846154,15098.345903535668,0.0,1766544.4997496896
2,2025-01-20,S2,Onion,Solapur,1541.71,13.08523311639758,1554.7952331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1778896.1538461538,15098.345903535668,0.0,1793994.4997496894
3,2025-01-27,S2,Onion,Solapur,1552.94,13.08523311639758,1566.0252331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1791853.8461538462,15098.345903535668,0.0,1806952.1920573818
4,2025-02-03,S2,Onion,Solapur,1613.22,13.08523311639758,1626.3052331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1861407.6923076923,15098.345903535668,0.0,1876506.0382112279
5,2025-02-10,S2,Onion,Solapur,1692.66,13.08523311639758,1705.7452331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1953069.2307692308,15098.345903535668,0.0,1968167.5766727664
6,2025-02-17,S2,Onion,Solapur,1722.29,13.08523311639758,1735.3752331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1987257.6923076923,15098.345903535668,0.0,2002356.0382112279
7,2025-02-24,S2,Onion,Solapur,1716.49,13.08523311639758,1729.5752331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1980565.3846153845,15098.345903535668,0.0,1995663.73051892
8,2025-03-03,S2,Onion,Solapur,1746.3,13.08523311639758,1759.3852331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2014961.5384615383,15098.345903535668,0.0,2030059.8843650739
9,2025-03-10,S2,Onion,Solapur,1811.26,13.08523311639758,1824.3452331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2089915.3846153845,15098.345903535668,0.0,2105013.7305189203
10,2025-03-17,S2,Onion,Solapur,1839.52,13.08523311639758,1852.6052331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2122523.076923077,15098.345903535668,0.0,2137621.422826613
11,2025-03-24,S2,Onion,Solapur,1815.82,13.08523311639758,1828.9052331163975,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2095176.923076923,15098.345903535668,0.0,2110275.268980459
12,2025-03-31,S2,Onion,Solapur,1808.36,13.08523311639758,1821.4452331163975,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2086569.2307692305,15098.345903535668,0.0,2101667.5766727664
13,2025-04-07,S2,Onion,Solapur,1846.23,13.08523311639758,1859.3152331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2130265.3846153845,15098.345903535668,0.0,2145363.7305189203
14,2025-04-14,S2,Onion,Solapur,1867.14,13.08523311639758,1880.2252331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2154392.3076923075,15098.345903535668,0.0,2169490.6535958434
15,2025-04-21,S2,Onion,Solapur,1828.85,13.08523311639758,1841.9352331163975,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2110211.5384615385,15098.345903535668,0.0,2125309.8843650743
16,2025-04-28,S2,Onion,Solapur,1784.92,13.08523311639758,1798.0052331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2059523.076923077,15098.345903535668,0.0,2074621.4228266126
17,2025-05-05,S2,Onion,Solapur,1788.99,13.08523311639758,1802.0752331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2064219.2307692308,15098.345903535668,0.0,2079317.5766727664
18,2025-05-12,S2,Onion,Solapur,1799.07,13.08523311639758,1812.1552331163975,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2075849.9999999998,15098.345903535668,0.0,2090948.3459035354
19,2025-05-19,S2,Onion,Solapur,1753.27,13.08523311639758,1766.3552331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,2023003.846153846,15098.345903535668,0.0,2038102.1920573816
20,2025-05-26,S2,Onion,Solapur,1681.24,13.08523311639758,1694.3252331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1939892.3076923077,15098.345903535668,0.0,1954990.6535958434
21,2025-06-02,S2,Onion,Solapur,1651.88,13.08523311639758,1664.9652331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1906015.3846153847,15098.345903535668,0.0,1921113.7305189203
22,2025-06-09,S2,Onion,Solapur,1650.76,13.08523311639758,1663.8452331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1904723.0769230768,15098.345903535668,0.0,1919821.4228266124
23,2025-06-16,S2,Onion,Solapur,1606.98,13.08523311639758,1620.0652331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1854207.6923076923,15098.345903535668,0.0,1869306.0382112279
24,2025-06-23,S2,Onion,Solapur,1521.18,13.08523311639758,1534.2652331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1755207.6923076923,15098.345903535668,0.0,1770306.0382112279
25,2025-06-30,S2,Onion,Solapur,1465.52,13.08523311639758,1478.6052331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1690984.6153846153,15098.345903535668,0.0,1706082.9612881509
26,2025-07-07,S2,Onion,Solapur,1455.64,13.08523311639758,1468.7252331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1679584.6153846155,15098.345903535668,0.0,1694682.961288151
27,2025-07-14,S2,Onion,Solapur,1423.87,13.08523311639758,1436.9552331163975,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1642926.923076923,15098.345903535668,0.0,1658025.2689804586
28,2025-07-21,S2,Onion,Solapur,1341.64,13.08523311639758,1354.7252331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1548046.153846154,15098.345903535668,0.0,1563144.4997496896
29,2025-07-28,S2,Onion,Solapur,1271.92,13.08523311639758,1285.0052331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1467600.0,15098.345903535668,0.0,1482698.3459035356
30,2025-08-04,S2,Onion,Solapur,1257.64,13.08523311639758,1270.7252331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1451123.076923077,15098.345903535668,0.0,1466221.4228266126
31,2025-08-11,S2,Onion,Solapur,1246.0,13.08523311639758,1259.0852331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1437692.3076923077,15098.345903535668,0.0,1452790.6535958434
32,2025-08-18,S2,Onion,Solapur,1184.17,13.08523311639758,1197.2552331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1366350.0,15098.345903535668,0.0,1381448.3459035356
33,2025-08-25,S2,Onion,Solapur,1114.98,13.08523311639758,1128.0652331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1286515.3846153845,15098.345903535668,0.0,1301613.73051892
34,2025-09-01,S2,Onion,Solapur,1101.18,13.08523311639758,1114.2652331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1270592.3076923077,15098.345903535668,0.0,1285690.6535958434
35,2025-09-08,S2,Onion,Solapur,1113.98,13.08523311639758,1127.0652331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1285361.5384615385,15098.345903535668,0.0,1300459.884365074
36,2025-09-15,S2,Onion,Solapur,1085.34,13.08523311639758,1098.4252331163975,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1252315.3846153845,15098.345903535668,0.0,1267413.73051892
37,2025-09-22,S2,Onion,Solapur,1030.53,13.08523311639758,1043.6152331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1189073.0769230768,15098.345903535668,0.0,1204171.4228266124
38,2025-09-29,S2,Onion,Solapur,1021.26,13.08523311639758,1034.3452331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1178376.923076923,15098.345903535668,0.0,1193475.2689804586
39,2025-10-06,S2,Onion,Solapur,1057.67,13.08523311639758,1070.7552331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1220388.4615384615,15098.345903535668,0.0,1235486.807441997
40,2025-10-13,S2,Onion,Solapur,1068.29,13.08523311639758,1081.3752331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1232642.3076923075,15098.345903535668,0.0,1247740.6535958431
41,2025-10-20,S2,Onion,Solapur,1038.16,13.08523311639758,1051.2452331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1197876.9230769232,15098.345903535668,0.0,1212975.2689804588
42,2025-10-27,S2,Onion,Solapur,1035.53,13.08523311639758,1048.6152331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1194842.3076923075,15098.345903535668,0.0,1209940.6535958431
43,2025-11-03,S2,Onion,Solapur,1089.44,13.08523311639758,1102.5252331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1257046.1538461538,15098.345903535668,0.0,1272144.4997496894
44,2025-11-10,S2,Onion,Solapur,1137.37,13.08523311639758,1150.4552331163975,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1312349.9999999998,15098.345903535668,0.0,1327448.3459035354
45,2025-11-17,S2,Onion,Solapur,1136.68,13.08523311639758,1149.7652331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1311553.8461538462,15098.345903535668,0.0,1326652.1920573818
46,2025-11-24,S2,Onion,Solapur,1140.39,13.08523311639758,1153.4752331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1315834.6153846155,15098.345903535668,0.0,1330932.961288151
47,2025-12-01,S2,Onion,Solapur,1201.44,13.08523311639758,1214.5252331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1386276.923076923,15098.345903535668,0.0,1401375.2689804586
48,2025-12-08,S2,Onion,Solapur,1277.04,13.08523311639758,1290.1252331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1473507.6923076923,15098.345903535668,0.0,1488606.0382112279
49,2025-12-15,S2,Onion,Solapur,1304.31,13.08523311639758,1317.3952331163975,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1504973.0769230768,15098.345903535668,0.0,1520071.4228266124
50,2025-12-22,S2,Onion,Solapur,1311.88,13.08523311639758,1324.9652331163977,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1513707.6923076925,15098.345903535668,0.0,1528806.038211228
51,2025-12-29,S2,Onion,Solapur,1367.45,13.08523311639758,1380.5352331163976,1153.8461538461538,1153.8461538461538,1153.8461538461538,0.0,0.0,0.0,1577826.923076923,15098.345903535668,0.0,1592925.2689804586
