raw_market,district,market_canonical,state,lat,lon
Bhagalpur,Bhagalpur,Bhagalpur,Bihar,25.2425,86.9842
Gaya,Gaya,Gaya,Bihar,24.7955,85.0002
Muzaffarpur,Muzaffarpur,Muzaffarpur,Bihar,26.1209,85.3647
Patna,Patna,Patna,Bihar,25.5941,85.1376
Ahmedabad(Chimanbhai Patal Market Vasana),Ahmedabad,Ahmedabad,Gujarat,23.0215374,72.5800568
Ahmedabad,Ahmedabad,Ahmedabad,Gujarat,23.0225,72.5714
"Anand(Veg,Yard,Anand)",Anand,Anand,Gujarat,22.5586555,72.9627227
Bhavnagar,Bhavnagar,Bhavnagar,Gujarat,21.7645,72.1519
Dahod(Veg. Market),Dahod,Dahod,Gujarat,22.8358786,74.2556823
Deesa,Banaskantha,Deesa,Gujarat,24.2589,72.1906
Kapadvanj,Kheda,Kapadvanj,Gujarat,23.0232402,73.0727531
Mahuva,Bhavnagar,Mahuva,Gujarat,21.0833,71.7833
Mehsana(Mehsana Veg),Mehsana,Mehsana,Gujarat,23.5975054,72.3899126
Padra,Vadodara(Baroda),Padra,Gujarat,22.2412214,73.0855259
Rajkot(Ghee Peeth),Rajkot,Rajkot,Gujarat,22.3053263,70.8028377
Rajkot,Rajkot,Rajkot,Gujarat,22.3039,70.8022
Surat,Surat,Surat,Gujarat,21.1702,72.8311
Vadhvan,Surendranagar,Vadhvan,Gujarat,,
Vadodara(Sayajipura),Vadodara(Baroda),Vadodara,Gujarat,22.3110728,73.1808008
Bangalore,Bangalore,Bangalore,Karnataka,12.9716,77.5946
Belgaum,Belgaum,Belgaum,Karnataka,15.8497,74.4977
Bellary,Bellary,Bellary,Karnataka,15.1394,76.9214
Chikkamagalore,Chikmagalur,Chikkamagalore,Karnataka,,
Chintamani,Kolar,Chintamani,Karnataka,13.3986587,78.0533058
Chitradurga,Chitradurga,Chitradurga,Karnataka,14.2251,76.3980
Davangere,Davangere,Davangere,Karnataka,14.4644,75.9218
Doddaballa Pur,Bangalore,Doddaballa Pur,Karnataka,,
Hubli (Amaragol),Dharwad,Hubli,Karnataka,15.3518378,75.1379848
Hubli,Dharwad,Hubli,Karnataka,15.3647,75.1240
Kolar,Kolar,Kolar,Karnataka,13.1357,78.1326
Mysore (Bandipalya),Mysore,Mysore,Karnataka,12.3059327,76.6403692
Mysore,Mysore,Mysore,Karnataka,12.2958,76.6394
Bhopal(F&V),Bhopal,Bhopal,Madhya Pradesh,23.2584857,77.401989
Bhopal,Bhopal,Bhopal,Madhya Pradesh,23.2599,77.4126
Chhindwara(F&V),Chhindwara,Chhindwara,Madhya Pradesh,22.0578244,78.9386203
Deori,Sagar,Deori,Madhya Pradesh,23.3855258,79.0157224
